Antworten,"Vollständiger Name",Q01_Einverständniserklärung,Q02_Teilnahme,Q03_Meinung,"Q04_Menge->1: Deutlich zu wenig, 2: Etwas zu wenig, 3: Genau richtig, 4: Etwas zu viel, 5: Deutlich zu viel","Q05_Länge->1: Deutlich zu kurz, 2: Etwas zu kurz, 3: Genau richtig, 4: Etwas zu lang, 5: Deutlich zu lang","Q06_Motivation->1: Deutlich weniger motivierend, 2: Weniger motivierend, 3: Etwa gleich, 4: Mehr motivierend, 5: Deutlich mehr motivierend","Q07_Lernerfolg->1: Deutlich geringer, 2: Etwas geringer, 3: Etwa gleich, 4: Etwa höher, 5: Deutlich höher","Q08_Positive Aspekte->Storytelling / Kreativität der Fragen","Q08_Positive Aspekte->Wettkampf, Rangliste","Q08_Positive Aspekte->Punkte sammeln","Q08_Positive Aspekte->Anspannung, Zeitdruck","Q08_Positive Aspekte->Ansprechende Darstellung","Q08_Positive Aspekte->Nichts von alledem","Q09_Weitere positive Aspekte","Q10_Negative Aspekte->Storytelling / Kreativität der Fragen","Q10_Negative Aspekte->Wettkampf, Rangliste","Q10_Negative Aspekte->Punkte sammeln","Q10_Negative Aspekte->Anspannung, Zeitdruck","Q10_Negative Aspekte->Darstellung","Q10_Negative Aspekte->Nichts von alledem","Q11_Weitere negative Aspekte","Q12_Kreativität der Fragen->1: Sehr störend / ablenkend, 2: Etwas störend / ablenkend, 3: Neutral, 4: Eher positiv / motivierend, 5: Sehr positiv / motivierend",Q13_Gesamtbewertung->Gesamtbewertung,Q14_Verbesserungsvorschläge,"Q15_Offenes Feedback"
17509,Anonym1,1,"2 : Ein oder zwei","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,5,1,0,0,1,1,0,"viele Antwortmöglichkeiten bei eher wenig Zeit, um die Antwort zu geben, sodass sich zeigt, ob man die Inhalte wirklich verstanden hat",0,0,0,0,0,1,-,5,10,-,-
17472,Anonym2,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,4,4,1,0,0,0,1,0,"Die Möglichkeit die in der Vorlesung definierten Begriffe noch mal voneinander abgrenzen zu können. Z.B. was war jetzt lemmatisierung noch mal genau?",0,0,0,1,0,0," ",5,10," "," "
17427,Anonym3,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,5,1,1,0,0,0,0,"Dass alle anderen Antwortmöglichkeiten immer nochmal durchgegangen und erläutert werden. Das hilft mir ganz gut, um die Zusammenhänge besser zu sehen und zu verstehen. ",0,0,0,0,0,1,"Absolut nicht. ",5,10,"Mir fällt nichts ein. ","Thomas Arnold trägt die Fragen auch super enthusiastisch vor! Macht richtig Spaß!"
17444,Anonym4,1,"3 : Drei oder vier","3 : Die Quizze waren OK, aber nichts besonderes",3,3,5,3,1,0,0,0,1,0,"Sehr kreativ",0,0,0,0,0,1,"Platform vergisst punkte nach reload.",4,8,-,-
17457,Anonym5,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,4,4,1,0,0,1,1,0,"Sehr gute Korrelation zwischen Lerninhalten und dem Storytelling.",0,0,0,0,0,1,Nichts.,5,9,"Ist schon perfekt.","Der Zeitdruck war vielleicht etwas Kontraproduktiv da man dadurch motivierter war eher schnell zu antworten als präzise"
17451,Anonym6,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",3,3,4,4,1,1,0,0,1,0,Abwechslung,0,0,0,0,0,1,Nein,4,8,"Die konkrete Frage etwas länger offen lassen. Nich sofort weitermachen",Nein
17488,Anonym7,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",2,3,5,5,1,1,0,1,0,0,"Die motivierende Art des Vorlesens der Fragen machten die Quizze umso lustiger und spannender. Die Erklärungen bei der Auflösung der Antwort waren auch sehr hilfreich.",0,0,0,0,0,1,"Beim eingeben des Namens hatte ich nicht genug Zeit, aber es war dennoch lustig die vorgegebenen zu nehmen.",5,10,"Ein Quiz am Anfang zur Erinnerung an die letzte Vorlesung und am Ende, um das frischgelernte einzusetzen.","Vielen Dank dafür, dass sie sich so viel Zeit genommen haben und für Ihre Mühe! Die Quizze fand ich sehr gut, lustig und motivierend. Dank diesen habe ich besseres Verständnis bekommen."
17483,Anonym8,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",2,3,5,2,1,1,0,0,1,0,/,0,0,0,0,0,1,/,5,10,/,/
17439,Anonym9,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,4,1,0,0,1,1,0,Nein,0,0,0,0,0,1,Nein,5,10,"keine Angabe",Nein
17443,Anonym10,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,3,3,1,0,0,0,0,0,Nein,0,0,0,1,0,0,"Nicht genug Zeit um die Fragen zu verstehen.",5,8,-,-
17484,Anonym11,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,0,1,0,1,0,"Anonymität bei der Auflösung des Quizes",0,0,0,1,0,0,"Schnellere Beatwortung der Fragen sollte nicht mehr Punkte geben! Das hat mich persönlich oft dazu verleitet meinen ersten Gedanken auszuwählen, obwohl ich mir die Antworten nicht richtig durchgelesen habe.",5,9,"Schnellere Beatwortung der Fragen sollte nicht mehr Punkte geben!",Nein
